,name,port_id,lat_port,lon_port,iso2,area,h3_5,h3_5_int
770,HÖGANÄS,32140,56.2123,12.550249,se,baltic,851f2337fffffff,599526560633978879
771,HÖGANÄS,32140,56.2123,12.550249,se,baltic,851f2edbfffffff,599526560633978879
772,HÖGANÄS,32140,56.2123,12.550249,se,baltic,851f23abfffffff,599526560633978879
773,HÖGANÄS,32140,56.2123,12.550249,se,baltic,851f23a7fffffff,599526560633978879
99,HÖNSÄTER,8128,58.63347,13.434,se,baltic,8508b093fffffff,599131622284984319
594,HÖNSÄTER,8128,58.63347,13.434,se,baltic,8508b42ffffffff,599131622284984319
595,HÖNSÄTER,8128,58.63347,13.434,se,baltic,8508b09bfffffff,599131622284984319
596,HÖNSÄTER,8128,58.63347,13.434,se,baltic,8508b467fffffff,599131622284984319
597,HÖNSÄTER,8128,58.63347,13.434,se,baltic,8508b097fffffff,599131622284984319
598,HÖNSÄTER,8128,58.63347,13.434,se,baltic,8508b42bfffffff,599131622284984319
599,HÖNSÄTER,8128,58.63347,13.434,se,baltic,8508b083fffffff,599131622284984319
32,IGGESUND,21,61.6366,17.14325,se,baltic,8508ae67fffffff,599131473034870783
192,IGGESUND,21,61.6366,17.14325,se,baltic,8508ae2bfffffff,599131473034870783
193,IGGESUND,21,61.6366,17.14325,se,baltic,8508aa93fffffff,599131473034870783
194,IGGESUND,21,61.6366,17.14325,se,baltic,8508ae6ffffffff,599131473034870783
195,IGGESUND,21,61.6366,17.14325,se,baltic,8508aa9bfffffff,599131473034870783
196,IGGESUND,21,61.6366,17.14325,se,baltic,8508ae77fffffff,599131473034870783
197,IGGESUND,21,61.6366,17.14325,se,baltic,8508ae63fffffff,599131473034870783
33,INKOO,924,60.01659,23.916923,fi,baltic,85089953fffffff,599130024557150207
198,INKOO,924,60.01659,23.916923,fi,baltic,85089943fffffff,599130024557150207
199,INKOO,924,60.01659,23.916923,fi,baltic,850899cbfffffff,599130024557150207
200,INKOO,924,60.01659,23.916923,fi,baltic,8508995bfffffff,599130024557150207
201,INKOO,924,60.01659,23.916923,fi,baltic,850899cffffffff,599130024557150207
202,INKOO,924,60.01659,23.916923,fi,baltic,85089827fffffff,599130024557150207
203,INKOO,924,60.01659,23.916923,fi,baltic,85089957fffffff,599130024557150207
140,Imatra,4621469,61.216047,28.83413,fi,baltic,8511234ffffffff,599280244259553279
840,Imatra,4621469,61.216047,28.83413,fi,baltic,851104b7fffffff,599280244259553279
841,Imatra,4621469,61.216047,28.83413,fi,baltic,851104b3fffffff,599280244259553279
842,Imatra,4621469,61.216047,28.83413,fi,baltic,85112343fffffff,599280244259553279
843,Imatra,4621469,61.216047,28.83413,fi,baltic,8511234bfffffff,599280244259553279
844,Imatra,4621469,61.216047,28.83413,fi,baltic,85112347fffffff,599280244259553279
845,Imatra,4621469,61.216047,28.83413,fi,baltic,8511237bfffffff,599280244259553279
145,Joensuu,879142,62.583,29.7512,fi,baltic,85112e3bfffffff,599280994805088255
870,Joensuu,879142,62.583,29.7512,fi,baltic,85112e07fffffff,599280994805088255
871,Joensuu,879142,62.583,29.7512,fi,baltic,85112e77fffffff,599280994805088255
872,Joensuu,879142,62.583,29.7512,fi,baltic,85112e33fffffff,599280994805088255
873,Joensuu,879142,62.583,29.7512,fi,baltic,85112e2bfffffff,599280994805088255
874,Joensuu,879142,62.583,29.7512,fi,baltic,85112e0ffffffff,599280994805088255
875,Joensuu,879142,62.583,29.7512,fi,baltic,85112e23fffffff,599280994805088255
139,Joutseno,2472356,61.119467,28.467,fi,baltic,85112343fffffff,599280241038327807
834,Joutseno,2472356,61.119467,28.467,fi,baltic,8511234ffffffff,599280241038327807
